,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta
0,Apple Inc. Common Stock,154.73,-3.79,(-2.39%),Technology,Computer Manufacturing,"2,682,606,618,200","96,970,102",$6.04,$0.88,"Feb 10, 2022",0.54%,1.18
1,Microsoft Corporation Common Stock,280.07,-5.52,(-1.93%),Technology,Computer Software: Prepackaged Software,"2,099,647,380,490","27,209,330",$9.39,$2.48,"Mar 10, 2022",0.86%,0.91
2,Alphabet Inc. Class C Capital Stock,2609.51,-44.13,(-1.66%),Technology,Internet and Information Services,"1,724,811,271,863","1,329,990",$112.23,N/A,N/A,N/A,1.06
3,Alphabet Inc. Class A Common Stock,2597.41,-51.18,(-1.93%),Technology,Internet and Information Services,"1,716,813,518,879","1,576,322",$112.23,N/A,N/A,N/A,1.06
4,"Amazon.com, Inc. Common Stock",2910.49,-25.86,(-0.88%),Consumer Services,Catalog/Specialty Distribution,"1,480,986,566,861","3,445,028",$64.78,N/A,N/A,N/A,1.11
5,"Tesla, Inc. Common Stock",795.35,-42.95,(-5.12%),Capital Goods,Auto Manufacturing,"822,000,278,409","22,345,722",$4.90,N/A,N/A,N/A,2.05
6,NVIDIA Corporation Common Stock,221.0,-5.58,(-2.46%),Technology,Semiconductors,"552,500,000,000","36,720,857",$3.85,$0.16,"Mar 24, 2022",0.07%,1.41
7,Taiwan Semiconductor Manufacturing Company Ltd.,101.41,-2.55,(-2.45%),Technology,Semiconductors,"525,891,845,254","18,116,439",$4.12,$1.547,"Apr 14, 2022",1.5%,0.92
8,"Meta Platforms, Inc. Class A Common Stock",187.61,-7.60,(-3.89%),Technology,Internet and Information Services,"510,663,531,116","34,694,534",$13.80,N/A,N/A,N/A,1.39
9,UnitedHealth Group Incorporated Common Stock,482.87,-8.57,(-1.74%),Health Care,Medical Specialities,"454,331,970,629","2,615,085",$18.08,$5.80,"Mar 22, 2022",1.19%,0.87
10,Johnson & Johnson Common Stock,169.35,-0.31,(-0.18%),Health Care,Biotechnology: Pharmaceutical Preparations,"445,266,562,557","5,188,196",$7.81,$4.24,"Mar 8, 2022",2.5%,0.71
11,Visa Inc.,196.71,-1.26,(-0.64%),Miscellaneous,Business Services,"412,691,824,462","5,432,099",$6.04,$1.50,"Mar 1, 2022",0.75%,0.92
12,Walmart Inc. Common Stock,142.07,-0.56,(-0.39%),Consumer Services,Department/Specialty Retail Stores,"394,084,912,528","6,387,420",$4.88,$2.24,"Apr 4, 2022",1.58%,0.53
13,JP Morgan Chase & Co. Common Stock,128.89,-2.97,(-2.25%),Finance,Major Banks,"380,587,548,143","20,061,789",$15.35,$4.00,"Jan 31, 2022",3%,1.13
14,Exxon Mobil Corporation Common Stock,84.92,-0.44,(-0.52%),Energy,Oil & Gas Production,"359,516,669,071","35,303,368",$5.39,$3.52,"Mar 10, 2022",4.25%,1.17
15,Bank of America Corporation Common Stock,40.33,-0.34,(-0.84%),Finance,Major Banks,"347,937,095,422","43,946,613",$3.56,$0.84,"Mar 25, 2022",2.05%,1.41
16,Procter & Gamble Company,143.22,-1.72,(-1.19%),Consumer Non-Durables,Package Goods/Cosmetics,"343,307,750,413","7,086,146",$5.66,$3.479,"Feb 15, 2022",2.34%,0.47
17,Chevron Corporation Common Stock,170.9,+0.08,(+0.05%),Energy,Integrated oil Companies,"332,836,866,831","28,423,555",$8.14,$5.68,"Mar 10, 2022",3.42%,1.13
18,"Home Depot, Inc.",316.79,-1.15,(-0.36%),Consumer Services,RETAIL: Building Materials,"330,804,528,882","2,973,298",$15.52,$7.60,"Mar 24, 2022",2.4%,1.06
19,Mastercard Incorporated Common Stock,324.79,+0.20,(+0.06%),Miscellaneous,Business Services,"317,474,572,623","2,987,773",$8.76,$1.96,"May 9, 2022",0.6%,1.09
20,"Pfizer, Inc. Common Stock",50.27,+1.07,(+2.17%),Health Care,Biotechnology: Pharmaceutical Preparations,"282,685,627,097","33,701,925",$3.85,$1.60,"Mar 4, 2022",3.28%,0.76
21,AbbVie Inc. Common Stock,149.06,-0.11,(-0.07%),Health Care,Other Pharmaceuticals,"263,650,445,751","5,171,515",$6.45,$5.64,"May 16, 2022",3.79%,0.8
22,Eli Lilly and Company Common Stock,266.3,+0.28,(+0.11%),Health Care,Biotechnology: Pharmaceutical Preparations,"253,610,039,654","2,469,637",$6.14,$3.92,"Mar 10, 2022",1.49%,0.41
23,Coca-Cola Company,57.92,+0.04,(+0.07%),Consumer Non-Durables,Beverages (Production/Distribution),"251,110,613,999","19,855,646",$2.26,$1.76,"Apr 1, 2022",2.85%,0.66
24,Walt Disney Company,131.75,-1.89,(-1.41%),Consumer Services,Movies/Entertainment,"239,868,451,504","7,058,388",$1.68,N/A,N/A,N/A,1.17
25,Broadcom Inc. Common Stock,577.85,-9.88,(-1.68%),Technology,Semiconductors,"236,694,722,965","1,981,534",$17.54,$16.40,"Mar 31, 2022",2.75%,1
27,Costco Wholesale Corporation Common Stock,527.42,-5.30,(-0.99%),Consumer Services,Department/Specialty Retail Stores,"233,765,355,032","1,735,112",$12.41,$3.16,"Feb 18, 2022",0.6%,0.66
28,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,86.71,-6.21,(-6.68%),Consumer Services,Catalog/Specialty Distribution,"233,033,125,000","39,341,801",$3.73,N/A,N/A,N/A,0.88
29,Novo Nordisk A/S Common Stock,101.26,-3.20,(-3.06%),Health Care,Biotechnology: Pharmaceutical Preparations,"230,439,374,898","2,677,131",$3.30,$1.483,"Apr 5, 2022",0.74%,0.49
30,"Cisco Systems, Inc. Common Stock",54.69,-0.02,(-0.04%),Technology,Computer peripheral equipment,"227,191,447,920","20,330,307",$2.80,$1.52,"Apr 27, 2022",2.65%,0.97
31,Verizon Communications Inc. Common Stock,53.04,-0.19,(-0.36%),Public Utilities,Telecommunications Equipment,"222,652,567,032","20,838,503",$5.33,$2.56,"May 2, 2022",4.82%,0.4
32,Toyota Motor Corporation Common Stock,158.27,-6.16,(-3.75%),Capital Goods,Auto Manufacturing,"218,276,625,970","356,034",$20.17,$3.726,"Dec 6, 2021",2.27%,0.48
